TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
1.963333 7.494578 2186.759521 5012.844238 5469.791992
1.963333 7.599398 3185.978516 4833.598145 5790.243164
1.963333 7.704217 3601.822754 4746.799805 5970.039551
1.963333 7.809036 2077.613770 4489.462402 4968.242676
1.963333 7.913855 1121.453491 4399.260742 4540.636230
1.963333 8.018675 2085.806641 3821.443604 4354.854492
1.963333 8.123494 3098.827148 4148.692383 5180.072266
1.963333 8.228313 4101.980469 5102.067871 6546.959961
1.963333 8.333133 2561.770508 5001.224609 5620.462891
1.963333 8.437952 1031.497559 5117.683594 5220.976562
1.963333 8.542771 1998.782715 6403.971680 6708.961914
1.963333 8.647590 0.000000 0.000000 0.000000
2.090000 0.052410 0.000000 0.000000 0.000000
2.090000 0.157229 934.189331 5144.477539 5229.116211
2.090000 0.262048 1895.858154 4935.649414 5287.963867
2.090000 0.366867 2913.420410 4799.462402 5616.012695
2.090000 0.471687 3912.699219 4511.129883 5972.748535
2.090000 0.576506 2375.227539 3997.729004 4651.416016
2.090000 0.681325 830.938354 4201.408691 4283.049805
2.090000 0.786145 1801.116211 4504.993164 4851.700195
2.090000 0.890964 2816.343262 4020.584473 4910.135254
2.090000 0.995783 3826.267578 4419.268555 5849.019531
2.090000 1.100602 2298.028320 3948.192871 4569.448242
2.090000 1.205422 725.551270 4261.137207 4323.498047
2.090000 1.310241 1704.449951 4450.533203 4766.711914
2.090000 1.415060 2743.593750 4269.525391 5077.220215
2.090000 1.519880 3752.042480 4694.007324 6010.555664
2.090000 1.624699 2203.450684 4488.533203 5001.045898
2.090000 1.729518 627.694824 4445.508789 4489.992676
2.090000 1.834337 1626.957520 4571.222656 4852.821289
2.090000 1.939157 2682.523926 4560.849609 5292.536621
2.090000 2.043976 3702.589844 4631.002930 5930.243164
2.090000 2.148795 5938.293945 4642.594727 7539.022461
2.090000 2.253614 7711.399414 4393.747070 8876.086914
2.090000 2.358434 6437.062500 4748.990234 8000.861816
2.090000 2.463253 5730.894531 4495.828125 7285.050781
2.090000 2.568072 6770.750977 4810.854980 8307.291016
2.090000 2.672892 7603.570801 4567.625977 8870.888672
2.090000 2.777711 6580.788086 4558.876953 8007.003906
2.090000 2.882530 5715.410645 4657.444336 7373.855469
2.090000 2.987349 6699.534180 4711.642578 8192.482422
2.090000 3.092169 7485.211914 4700.527832 8839.601562
2.090000 3.196988 6658.428711 4779.560547 8197.773438
2.090000 3.301807 5988.158203 4479.884766 7479.597656
2.090000 3.406627 6900.750977 4927.783691 8482.457031
2.090000 3.511446 7208.625977 4596.679199 8549.840820
2.090000 3.616265 6441.748535 4961.398438 8131.106445
2.090000 3.721084 6231.083496 4641.325684 7770.712891
