TITLE="(Vx,Vy)"
VARIABLES=X,MPR1,MPR2,MPR3
ZONE T="T-Dummy" I=1, J=1
0.920000 0.229548 0.229952 0.229952
0.920000 0.229548 0.229952 0.229952
0.925000 0.229533 0.229941 0.229941
0.925000 0.229533 0.229941 0.229941
0.930000 0.229518 0.229930 0.229930
0.930000 0.229518 0.229930 0.229930
0.935000 0.229502 0.229919 0.229919
0.935000 0.229502 0.229919 0.229919
0.940000 0.229487 0.229908 0.229908
0.940000 0.229487 0.229908 0.229908
0.945000 0.229471 0.229897 0.229897
0.945000 0.229471 0.229897 0.229897
0.950000 0.229456 0.229886 0.229886
0.950000 0.229456 0.229886 0.229886
0.955000 0.229440 0.229875 0.229875
0.955000 0.229440 0.229875 0.229875
0.960000 0.229424 0.229864 0.229864
0.960000 0.229424 0.229864 0.229864
0.965000 0.229408 0.229852 0.229852
0.965000 0.229408 0.229852 0.229852
0.970000 0.229392 0.229841 0.229841
0.970000 0.229392 0.229841 0.229841
0.975000 0.229376 0.229830 0.229830
0.975000 0.229376 0.229830 0.229830
0.980000 0.229360 0.229818 0.229818
0.980000 0.229360 0.229818 0.229818
0.985000 0.229344 0.229807 0.229807
0.985000 0.229344 0.229807 0.229807
0.990000 0.229328 0.229795 0.229795
0.990000 0.229328 0.229795 0.229795
0.995000 0.229311 0.229784 0.229784
0.995000 0.229311 0.229784 0.229784
