TITLE="(Vx,Vy)"
VARIABLES=X,Y,jx,jy,Jm,T
ZONE T="T-Dummy" I=83, J=41, F=POINT
7.599398 0.036585 -706.853577 -129.258759 718.879883 1185.368497
7.704217 0.036585 -887.207214 -129.622421 896.784973 1185.368497
7.809036 0.036585 -1071.163086 -128.507751 1078.906128 1185.368475
7.913855 0.036585 -1224.095825 -126.327629 1230.655518 1185.364831
8.018675 0.036585 -1293.861572 -124.027649 1299.832886 1184.881870
8.123494 0.036585 -1224.249023 -116.630829 1229.815674 1145.430892
8.228313 0.036585 -1017.628479 -105.309982 1023.079102 1144.941041
8.333133 0.036585 -736.821045 -91.372086 742.476196 1144.936668
8.437952 0.036585 -438.045593 -79.394714 445.190674 1144.874442
8.542771 0.036585 -144.547775 -72.712135 161.815277 1137.348174
8.647590 0.036585 0.000000 0.000000 0.000000 586.858940
0.052410 0.051220 0.000000 0.000000 0.000000 713.600020
0.157229 0.051220 168.742859 -151.773743 226.982559 1203.926868
0.262048 0.051220 497.495178 -155.966553 521.370728 1210.036792
0.366867 0.051220 814.036743 -176.161591 832.884338 1210.082117
0.471687 0.051220 1102.760498 -200.349365 1120.817871 1210.083556
0.576506 0.051220 1318.912109 -228.652267 1338.590698 1210.229446
0.681325 0.051220 1398.610352 -240.065018 1419.063965 1220.642497
0.786145 0.051220 1330.354004 -242.053406 1352.206787 1220.786597
0.890964 0.051220 1166.744141 -236.564209 1190.518555 1220.787717
0.995783 0.051220 954.120972 -230.948242 981.786865 1220.787723
1.100602 0.051220 753.013428 -240.036194 790.955078 1220.787722
1.205422 0.051220 597.172974 -242.043228 645.339172 1220.787722
1.310241 0.051220 483.099609 -244.220016 542.521301 1220.787722
1.415060 0.051220 404.061157 -243.469971 472.928894 1220.787722
1.519880 0.051220 342.061340 -238.894562 418.213318 1220.787722
1.624699 0.051220 277.729065 -231.016602 362.005432 1220.787722
1.729518 0.051220 201.187958 -223.765945 301.410004 1220.787722
1.834337 0.051220 133.868225 -228.831390 265.498138 1220.787722
1.939157 0.051220 93.695450 -229.677338 248.836716 1220.787722
2.043976 0.051220 74.587952 -229.222778 241.977997 1220.787722
2.148795 0.051220 72.904778 -229.019363 241.192352 1220.787722
2.253614 0.051220 84.873932 -232.212418 247.768219 1220.787722
2.358434 0.051220 89.175400 -224.512695 241.778488 1220.787722
2.463253 0.051220 66.340164 -216.307465 226.393509 1220.787722
2.568072 0.051220 27.886669 -213.313599 215.269775 1220.787722
2.672892 0.051220 -2.671976 -216.027710 216.082855 1220.787722
2.777711 0.051220 -4.612078 -224.543457 224.610657 1220.787722
2.882530 0.051220 14.306345 -223.221893 223.748276 1220.787722
2.987349 0.051220 30.101830 -217.684570 219.850006 1220.787722
3.092169 0.051220 31.696209 -211.424988 213.896240 1220.787722
3.196988 0.051220 19.646193 -210.314850 211.342865 1220.787722
3.301807 0.051220 0.842716 -208.576599 208.698090 1220.787722
3.406627 0.051220 -10.457279 -211.545288 211.932159 1220.787722
3.511446 0.051220 -1.897011 -214.949341 215.046448 1220.787722
3.616265 0.051220 20.661743 -215.732193 216.763123 1220.787722
3.721084 0.051220 42.257748 -213.125900 217.288757 1220.787722
3.825904 0.051220 47.767761 -207.764587 213.188080 1220.787722
3.930723 0.051220 30.526281 -202.469894 204.766174 1220.787722
4.035542 0.051220 1.863162 -202.039246 202.090851 1220.787722
4.140361 0.051220 -15.806320 -206.401611 207.066513 1220.787722
4.245181 0.051220 -11.336367 -210.751801 211.089981 1220.787722
4.350000 0.051220 8.505219 -212.291122 212.469421 1220.787722
4.454819 0.051220 28.490685 -210.344421 212.265167 1220.787722
4.559639 0.051220 33.358231 -205.577362 208.271057 1220.787722
4.664458 0.051220 16.235609 -200.772980 201.429688 1220.787722
4.769277 0.051220 -11.979504 -200.675903 201.039032 1220.787722
4.874096 0.051220 -29.305504 -205.308426 207.401947 1220.787722
4.978916 0.051220 -24.674892 -209.966431 211.413940 1220.787722
5.083735 0.051220 -4.734407 -211.824860 211.879272 1220.787722
5.188554 0.051220 15.359476 -210.193390 210.770782 1220.787722
5.293373 0.051220 20.304686 -205.706177 206.743317 1220.787722
5.398193 0.051220 3.072883 -201.135040 201.183807 1220.787722
5.503012 0.051220 -25.534870 -201.259918 202.875473 1220.787722
5.607831 0.051220 -43.531094 -206.089981 210.637512 1220.787722
5.712651 0.051220 -39.939766 -210.887848 214.644806 1220.787722
5.817470 0.051220 -21.588449 -212.860825 213.992340 1220.787722
5.922289 0.051220 -3.795489 -211.335205 211.467590 1220.787722
6.027108 0.051220 -2.063278 -206.929199 207.102997 1220.787722
6.131928 0.051220 -23.690516 -202.408417 203.948364 1220.787722
6.236747 0.051220 -58.084248 -202.608261 210.873016 1220.787722
6.341566 0.051220 -83.352600 -207.587479 223.817123 1220.787722
6.446386 0.051220 -88.794586 -212.560364 230.606873 1220.787722
6.551205 0.051220 -81.864319 -214.703842 230.280914 1220.787722
6.656024 0.051220 -78.756905 -213.347900 228.307404 1220.787721
6.760843 0.051220 -96.038208 -209.138275 231.389832 1220.787721
6.865663 0.051220 -142.238113 -204.838715 250.602783 1220.787721
6.970482 0.051220 -207.940201 -205.359741 293.245178 1220.787721
7.075301 0.051220 -272.373596 -210.794998 345.437836 1220.787721
7.180120 0.051220 -326.498169 -216.315689 392.917389 1220.787721
7.284940 0.051220 -379.915771 -219.265060 440.162476 1220.787721
7.389759 0.051220 -450.819061 -219.164856 502.813782 1220.787721
7.494578 0.051220 -557.072388 -216.806259 599.009033 1220.787721
7.599398 0.051220 -706.768372 -214.668945 739.423462 1220.787721
7.704217 0.051220 -887.137268 -215.391586 913.326172 1220.787721
7.809036 0.051220 -1070.853271 -213.415848 1092.071289 1220.787715
7.913855 0.051220 -1223.678711 -209.674500 1241.666260 1220.786595
8.018675 0.051220 -1292.963745 -205.945068 1309.370117 1220.642495
8.123494 0.051220 -1222.512207 -193.846252 1237.849487 1210.229446
8.228313 0.051220 -1015.280029 -175.115646 1030.315552 1210.083556
8.333133 0.051220 -734.410034 -151.929459 749.991577 1210.082095
8.437952 0.051220 -436.309540 -131.998703 455.861389 1210.032851
8.542771 0.051220 -143.926086 -120.882629 187.973267 1203.381565
8.647590 0.051220 0.000000 0.000000 0.000000 666.900481
0.052410 0.065854 0.000000 0.000000 0.000000 786.170327
0.157229 0.065854 168.399597 -212.046432 270.809601 1223.124657
0.262048 0.065854 495.457550 -217.509689 541.099915 1228.137827
0.366867 0.065854 810.321289 -245.924286 846.826538 1228.172568
0.471687 0.065854 1098.362793 -279.523376 1133.383789 1228.173018
0.576506 0.065854 1315.591309 -319.450562 1353.832764 1228.206198
0.681325 0.065854 1397.500244 -334.851562 1437.056885 1230.420883
0.786145 0.065854 1330.648926 -337.606323 1372.827148 1230.453713
0.890964 0.065854 1167.680664 -329.865723 1213.433594 1230.453973
0.995783 0.065854 953.824524 -321.731964 1006.816162 1230.453974
1.100602 0.065854 752.078735 -335.006531 824.389404 1230.453974
1.205422 0.065854 596.827698 -337.531311 687.242859 1230.453974
1.310241 0.065854 482.979675 -340.594910 592.782104 1230.453974
1.415060 0.065854 404.506653 -339.552307 529.763245 1230.453974
1.519880 0.065854 343.104431 -333.169678 479.515869 1230.453974
1.624699 0.065854 279.000916 -322.124481 427.031860 1230.453974
1.729518 0.065854 201.366608 -311.757202 371.612610 1230.453974
1.834337 0.065854 133.368011 -319.289917 346.327271 1230.453974
1.939157 0.065854 93.669708 -320.290710 334.336304 1230.453974
2.043976 0.065854 74.652405 -319.480774 328.817810 1230.453974
2.148795 0.065854 72.649918 -318.888977 327.758270 1230.453974
2.253614 0.065854 85.244537 -323.891052 335.366089 1230.453974
2.358434 0.065854 90.512192 -312.935760 325.920349 1230.453974
2.463253 0.065854 67.279739 -301.395630 308.918823 1230.453974
2.568072 0.065854 27.912441 -297.187256 298.599548 1230.453974
2.672892 0.065854 -3.617544 -300.883026 300.927551 1230.453974
2.777711 0.065854 -5.217979 -313.155701 313.209595 1230.453974
2.882530 0.065854 14.887189 -311.121948 311.527283 1230.453974
2.987349 0.065854 31.097092 -303.235931 304.896454 1230.453974
3.092169 0.065854 32.311253 -294.244659 296.101440 1230.453974
3.196988 0.065854 19.880623 -293.036530 293.801453 1230.453974
3.301807 0.065854 0.742047 -290.473755 290.566467 1230.453974
3.406627 0.065854 -10.991020 -294.634308 294.938293 1230.453974
3.511446 0.065854 -2.247371 -299.391083 299.466431 1230.453974
3.616265 0.065854 20.814434 -300.477142 301.228943 1230.453974
3.721084 0.065854 42.924698 -296.840973 299.937653 1230.453973
3.825904 0.065854 48.660652 -289.346954 293.411591 1230.453973
3.930723 0.065854 31.006310 -281.910400 283.615448 1230.453974
4.035542 0.065854 1.533236 -281.310455 281.347321 1230.453974
4.140361 0.065854 -16.536432 -287.443420 287.966370 1230.453973
4.245181 0.065854 -11.829236 -293.521423 293.785583 1230.453973
4.350000 0.065854 8.539381 -295.663940 295.792999 1230.453973
4.454819 0.065854 29.052654 -292.949249 294.386444 1230.453973
4.559639 0.065854 34.160297 -286.286560 288.322144 1230.453973
4.664458 0.065854 16.646709 -279.535645 280.032196 1230.453974
4.769277 0.065854 -12.359911 -279.399017 279.677185 1230.453974
4.874096 0.065854 -30.084042 -285.909180 287.498596 1230.453973
4.978916 0.065854 -25.220318 -292.419739 293.507751 1230.453973
5.083735 0.065854 -4.753394 -295.009399 295.048767 1230.453973
5.188554 0.065854 15.871595 -292.736145 293.179535 1230.453973
5.293373 0.065854 21.063766 -286.465271 287.268738 1230.453973
