TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
2.343333 7.913855 -310.563263 230.531708 386.894165
2.343333 8.018675 -162.951019 237.290009 288.324432
2.343333 8.123494 -25.064754 227.863220 230.237396
2.343333 8.228313 27.024429 199.310425 201.964844
2.343333 8.333133 -9.022711 162.328857 163.429657
2.343333 8.437952 -85.657372 135.076050 160.408783
2.343333 8.542771 -62.286598 121.492767 136.641327
2.343333 8.647590 0.000000 0.000000 0.000000
2.470000 0.052410 0.000000 0.000000 0.000000
2.470000 0.157229 58.526306 -9.325430 59.339516
2.470000 0.262048 68.354355 -5.767113 68.667351
2.470000 0.366867 -21.214508 0.789261 21.473646
2.470000 0.471687 -55.894218 9.389811 56.856537
2.470000 0.576506 5.110934 18.541546 28.867380
2.470000 0.681325 156.773346 19.812244 158.029755
2.470000 0.786145 321.251587 14.443080 321.576111
2.470000 0.890964 378.754272 5.167171 378.789520
2.470000 0.995783 246.181000 -4.341119 246.219284
2.470000 1.100602 -1.156620 -4.907287 5.045179
2.470000 1.205422 -146.440125 1.627418 146.449280
2.470000 1.310241 -113.384491 10.274168 113.849396
2.470000 1.415060 20.595079 16.464417 26.374247
2.470000 1.519880 164.928314 19.316305 166.055908
2.470000 1.624699 222.418961 15.428307 222.953735
2.470000 1.729518 106.946053 11.578703 107.572113
2.470000 1.834337 -111.073914 12.763926 111.805359
2.470000 1.939157 -227.647583 20.465527 228.566132
2.470000 2.043976 -170.403625 29.612967 172.958099
2.470000 2.148795 -17.089649 34.704487 38.686840
2.470000 2.253614 137.810455 32.790089 141.661057
2.470000 2.358434 200.383972 24.913689 201.930695
2.470000 2.463253 89.675430 20.610199 92.024971
2.470000 2.568072 -124.499794 23.286911 126.664322
2.470000 2.672892 -238.372787 32.245178 240.547882
2.470000 2.777711 -179.460449 42.518867 184.433990
2.470000 2.882530 -19.830250 49.092381 52.947308
2.470000 2.987349 144.690491 50.209236 153.166046
2.470000 3.092169 211.279816 48.271107 216.735107
2.470000 3.196988 101.588882 48.920746 112.776505
2.470000 3.301807 -110.958679 53.004761 122.988098
2.470000 3.406627 -222.352249 61.301514 230.661652
2.470000 3.511446 -157.518127 74.106171 174.092438
2.470000 3.616265 5.052588 81.459137 81.615707
2.470000 3.721084 167.721802 81.936905 186.678345
2.470000 3.825904 234.026031 78.053345 246.714508
2.470000 3.930723 123.823700 75.125412 144.854401
2.470000 4.035542 -89.400650 77.378998 118.283859
2.470000 4.140361 -199.520905 84.690071 216.778992
2.470000 4.245181 -133.577682 93.124924 162.862274
2.470000 4.350000 28.457424 97.759079 101.817001
2.470000 4.454819 190.824799 96.651077 213.916702
2.470000 4.559639 257.925873 91.744698 273.772369
2.470000 4.664458 150.317841 87.881561 174.140076
2.470000 4.769277 -58.399853 88.715485 106.300110
2.470000 4.874096 -162.920013 93.643188 187.969467
2.470000 4.978916 -92.267593 97.783386 134.497986
2.470000 5.083735 66.568024 101.040054 120.997925
2.470000 5.188554 219.497070 101.326790 241.768158
2.470000 5.293373 277.740051 100.749146 295.463745
2.470000 5.398193 170.214493 99.739700 197.302734
2.470000 5.503012 -37.958130 108.788452 115.311005
2.470000 5.607831 -153.364990 122.650490 196.457306
2.470000 5.712651 -96.930725 135.766006 166.875793
2.470000 5.817470 53.662025 143.306793 153.024719
2.470000 5.922289 204.657349 143.606934 250.030151
2.470000 6.027108 262.700684 138.983124 297.226501
2.470000 6.131928 150.416000 135.134155 202.227219
2.470000 6.236747 -60.867661 137.936615 150.848541
2.470000 6.341566 -171.349060 147.488495 226.162735
2.470000 6.446386 -110.869431 158.077454 193.135666
2.470000 6.551205 41.979889 164.231384 169.512436
2.470000 6.656024 194.016937 163.969849 254.042084
2.470000 6.760843 253.087738 159.479584 299.174561
2.470000 6.865663 143.907211 156.345245 212.513397
2.470000 6.970482 -61.845970 160.084473 171.693512
2.470000 7.075301 -176.391998 169.011261 244.377762
2.470000 7.180120 -132.895508 176.592651 221.065125
2.470000 7.284940 -3.048236 179.002319 179.032532
2.470000 7.389759 118.497704 174.789932 211.186371
2.470000 7.494578 140.655701 166.229858 217.788101
2.470000 7.599398 -5.111784 158.845566 158.928253
2.470000 7.704217 -245.102966 158.334335 291.868225
2.470000 7.809036 -374.485138 164.653748 409.144104
2.470000 7.913855 -319.035706 171.758331 362.424805
2.470000 8.018675 -158.997040 173.545074 235.869324
2.470000 8.123494 -8.841991 167.306213 169.022415
2.470000 8.228313 56.328964 156.048492 166.837753
2.470000 8.333133 23.283159 138.299835 141.181091
2.470000 8.437952 -65.447792 121.365524 138.449585
2.470000 8.542771 -55.680275 112.788422 125.898956
2.470000 8.647590 0.000000 0.000000 0.000000
2.596667 0.052410 0.000000 0.000000 0.000000
2.596667 0.157229 56.760559 -16.278442 59.205341
2.596667 0.262048 67.021103 -15.771079 69.123161
2.596667 0.366867 -22.074741 -19.628973 31.405956
2.596667 0.471687 -60.326553 -24.266619 65.257965
2.596667 0.576506 3.290320 -28.940718 36.636642
2.596667 0.681325 160.741547 -31.793240 163.925217
2.596667 0.786145 327.620789 -30.760834 329.070831
2.596667 0.890964 385.975403 -31.613159 387.274109
2.596667 0.995783 251.131989 -32.443150 253.229034
2.596667 1.100602 1.462202 -33.902481 33.934441
2.596667 1.205422 -147.356964 -37.406986 152.038971
2.596667 1.310241 -118.331955 -37.583145 124.162491
2.596667 1.415060 13.930268 -36.521496 39.094044
2.596667 1.519880 161.103439 -35.232605 164.916931
2.596667 1.624699 222.619812 -32.819283 225.032471
2.596667 1.729518 106.067703 -27.815565 109.675835
2.596667 1.834337 -115.304260 -25.160217 118.027054
2.596667 1.939157 -234.397675 -22.876534 235.515656
2.596667 2.043976 -176.277039 -19.828516 177.392365
2.596667 2.148795 -19.026382 -16.489735 25.178783
2.596667 2.253614 140.449036 -14.710835 141.222351
2.596667 2.358434 204.045105 -13.964196 204.525986
2.596667 2.463253 89.857758 -12.148199 90.684921
2.596667 2.568072 -128.882339 -9.838687 129.260895
2.596667 2.672892 -244.359406 -7.598204 244.478821
2.596667 2.777711 -181.725937 -6.209769 181.832962
2.596667 2.882530 -19.300980 -7.293213 20.633024
2.596667 2.987349 144.371368 -6.532250 144.519318
2.596667 3.092169 208.325775 -4.665727 208.378220
